OBJECTID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,NonContrib,NonContr_1,AreaSqKm,AreaAcres,GNIS_ID,Name,States,HUC12,HUType,HUMod,ToHUC,HUC4,HUC6,HUC8,HUC10,HUC4_Name,HUC6_Name,HUC8_Name,HUC10_Name,Shape_Leng,Shape_Area,test_count,test_sum,test_mean
"39",{C65F6001-43EE-4551-B1B6-A0356500552B},,,,,2013-01-18,"0","0",73.069999999999993,18055.200000000000728,,Sullivan Branch-Marshyhope Creek,"DE,MD","020801090304",S,NM,"020801090305","0208","020801","02080109","0208010903",Lower Chesapeake,Lower Chesapeake,Nanticoke,Marshyhope Creek,68101.910260657139588,120279417.151461839675903,81183.000000000000000,73.000000000000000,0.000899203035118
"40",{DE681DBC-6248-4CAF-8D68-44CA4F28FF96},,,,,2013-01-18,"0","0",64.849999999999994,16023.930000000000291,,Faulkner Branch-Marshyhope Creek,"DE,MD","020801090305",S,NM,"020801090306","0208","020801","02080109","0208010903",Lower Chesapeake,Lower Chesapeake,Nanticoke,Marshyhope Creek,61760.552173781878082,106661608.794133707880974,72040.000000000000000,297.000000000000000,0.004122709605775
"41",{365FA8E0-CC76-4BED-BA22-DF6098E3639F},,,,,2013-01-18,"0","0",102.469999999999999,25321.909999999999854,,Puckum Branch-Marshyhope Creek,"DE,MD","020801090306",S,TF,"020801090307","0208","020801","02080109","0208010903",Lower Chesapeake,Lower Chesapeake,Nanticoke,Marshyhope Creek,66520.436407887129462,168241291.758702456951141,113867.000000000000000,2647.000000000000000,0.023246419067860
"42",{5BD506D7-5980-453C-807A-61E4E5307D47},,,,,2013-01-18,"0","0",110.980000000000004,27423.319999999999709,,Butler Mill Branch-Nanticoke River,"DE,MD","020801090405",S,NM,"020801090406","0208","020801","02080109","0208010904",Lower Chesapeake,Lower Chesapeake,Nanticoke,Upper Nanticoke River,88848.646656364333467,182114270.837342679500580,123296.000000000000000,2539.000000000000000,0.020592719958474
"43",{BBD68E5D-6D8F-4001-B1EA-F3ACCECF1B79},,,,,2013-01-18,"0","0",110.120000000000005,27212.400000000001455,,Gales Creek-Nanticoke River,"DE,MD","020801090406",S,NM,"020801090501","0208","020801","02080109","0208010904",Lower Chesapeake,Lower Chesapeake,Nanticoke,Upper Nanticoke River,77458.938145896900096,180358092.267990678548813,122367.000000000000000,3133.000000000000000,0.025603308081427
"44",{49246754-C0DA-45EE-B92A-9BC005579C12},,,,,2013-01-18,"0","0",134.180000000000007,33157.309999999997672,,Barren Creek-Nanticoke River,"DE,MD","020801090504",S,NM,"020801090505","0208","020801","02080109","0208010905",Lower Chesapeake,Lower Chesapeake,Nanticoke,Lower Nanticoke River,100879.429172087417101,219093227.213999390602112,149077.000000000000000,13578.000000000000000,0.091080448358902
"45",{24500DAB-351B-43E8-94B6-095320FBD116},,,,,2013-01-18,"0","0",100.500000000000000,24834.090000000000146,,North Prong Wicomico River,"DE,MD","020801100301",S,NM,"020801100303","0208","020801","02080110","0208011003",Lower Chesapeake,Lower Chesapeake,Tangier,Wicomico River,70782.717926809971686,163983570.566748946905136,111690.000000000000000,749.000000000000000,0.006706061420002
"46",{80E4E222-0C4A-40BE-977E-53AB9EC758DF},,,,,2013-01-18,"0","0",133.900000000000006,33087.750000000000000,,Careytown Branch-Pocomoke River,"DE,MD","020801110201",S,NM,"020801110202","0208","020801","02080111","0208011102",Lower Chesapeake,Lower Chesapeake,Pokomoke-Western Lower Delmarva,Bald Cypress Branch-Pocomoke River,93609.371347814536421,218788185.151814728975296,148777.000000000000000,206.000000000000000,0.001384622623121
"47",{21BC2680-D2E8-4F6F-8951-0E42445BB8D8},,,,,2013-01-18,"0","0",123.599999999999994,30542.709999999999127,,Big Elk Creek,"DE,MD,PA","020600020203",S,NM,"020600020205","0206","020600","02060002","0206000202",Upper Chesapeake,Upper Chesapeake,Chester-Sassafras,Elk River,118489.138381296084845,209181374.273213922977448,137318.000000000000000,121.000000000000000,0.000881166343815
"48",{DA5E810C-25B5-4700-8D16-A87D08BC01E8},,,,,2013-01-18,"0","0",92.500000000000000,22858.319999999999709,,Lower Rock Creek,"DC,MD","020700100102",S,UA,"020700100103","0207","020700","02070010","0207001001",Potomac,Potomac,Middle Potomac-Anacostia-Occoquan,Rock Creek-Potomac River,71450.151536571356701,153340801.794751852750778,102809.000000000000000,8.000000000000000,0.000077814199146
"49",{B4C3FFF3-C077-48DD-A840-4BC3A1F070B9},,,,,2013-01-18,"0","0",135.469999999999999,33474.819999999999709,,Northwest Branch Anacostia River,"DC,MD","020700100201",S,UA,"020700100203","0207","020700","02070010","0207001002",Potomac,Potomac,Middle Potomac-Anacostia-Occoquan,Anacostia River,93288.986216349017923,224901428.623503327369690,150517.000000000000000,64.000000000000000,0.000425201140071
"50",{E6F77BB3-B9DA-4EEB-9D0F-533AA8DA2F8D},{6412D163-3624-470E-902A-64079F9BFE1F},,,,2017-10-17,"0","0",119.599999999999994,29554.430000000000291,,Beaverdam Creek-Anacostia River,"DC,MD","020700100204",S,UA,"020700100301","0207","020700","02070010","0207001002",Potomac,Potomac,Middle Potomac-Anacostia-Occoquan,Anacostia River,76320.100280393045978,197782885.339688062667847,132884.000000000000000,3024.000000000000000,0.022756690045453
"51",{01240DDE-B2ED-439F-8F3D-C59F1A6F5612},{969413C3-1721-4C52-A4FA-79F69A435084},,,,2016-06-11,"0","0",94.950000000000003,23461.990000000001601,,Pimmit Run-Potomac River,"DC,VA","020700100103",S,UA,"020700100301","0207","020700","02070010","0207001001",Potomac,Potomac,Middle Potomac-Anacostia-Occoquan,Rock Creek-Potomac River,82063.525023947673617,156999770.966554284095764,105498.000000000000000,7539.000000000000000,0.071461070352045
"52",{173390D4-23AB-42FD-8336-57CE89A6FD03},{A1A0C3B3-D229-49F4-8CC7-DCF32E5EFEC7},,,,2017-10-17,"0","0",101.900000000000006,25180.130000000001019,,Four Mile Run-Potomac River,"DC,MD,VA","020700100301",S,UA,"020700100307","0207","020700","02070010","0207001003",Potomac,Potomac,Middle Potomac-Anacostia-Occoquan,Cameron Run-Potomac River,92330.646693038943340,168239111.614995479583740,113232.000000000000000,8221.000000000000000,0.072603151052706
