,Station,Latitude,Longitude
39412,LKN001.38,36.87723,-76.00868
39442,LKN002.77,36.85862,-76.00945
39451,LKN003.25,36.85904,-76.0083
39460,LMN0028,38.20855,-75.80458
39618,LOW003.42,38.11082,-76.64081999999998
39639,LXT0200,39.16775,-76.85125
39797,LYN000.03,36.90738,-76.09303
39806,LYN001.98,36.89796,-76.08519
39815,MAO001.05,38.21255,-76.97378
39837,MAT0016,38.56508,-77.19345
40046,MAT0078,38.58852,-77.11865
40254,MDR0038,39.3145,-76.42478
40268,MES001.26,37.90179000000001,-75.68496999999998
40295,MGN0062,39.28003,-76.01456
40457,MIL000.93,37.79439,-76.32333
40484,MJB003.07,37.31181,-76.34634
40511,MJB004.30,37.32493,-76.39478000000003
40538,MJB005.46,37.3579,-76.33277
40625,MKB0016,38.21389,-75.67139
40780,MNK0146,38.175,-75.72361
40880,MOB006.12,37.25818,-76.38902
40911,MON000.18,38.23197,-76.96372
41005,MON0020,39.27171,-77.44157
41176,MON0155,39.38778,-77.3811
41349,MON0269,39.48027,-77.38939
41522,MON0528,39.67917,-77.23489000000002
41692,MON0546,39.69645,-77.23947
41982,MPN001.65,37.53783,-76.78458
41985,MPN005.04,37.57552,-76.79768
41998,MPN008.12,37.60152,-76.82035
42001,MPN011.97,37.61688,-76.86425
42004,MPN016.28,37.65687,-76.88465
42007,MPN018.70,37.66633,-76.90628000000002
42010,MPN021.95,37.68863,-76.93535
42013,MPN024.65,37.70242,-76.9715
42016,MPN028.86,37.72288,-77.01959000000002
42027,MPN031.95,37.74999,-77.07198000000002
42030,MTI0015,38.74332,-76.70744
42286,MUD000.00,37.85362,-75.67551
42313,MZC0016,38.82572,-75.8385
42335,NBP0023,39.57447,-78.61537
42506,NBP0103,39.58268,-78.73145
42677,NBP0326,39.56677,-78.83891
42851,NBP0461,39.44491,-78.97175
43025,NBP0534,39.47922,-79.06801999999998
43199,NBP0689,39.38935,-79.17936
43373,NOM000.81,38.15818,-76.71786999999998
43394,NOM0007,39.30127,-76.43044
43400,NOM002.36,38.1316,-76.71618000000002
43490,NOM004.69,38.10398,-76.71592
43511,NOR000.63,37.42075,-76.44422
43538,NOR004.81,37.38733,-76.39373
43565,NPA0165,39.48278,-76.88209
44013,NWA0016,38.95223,-76.96606
44171,OCH001.60,37.55641,-75.91551
44253,OCH006.02,37.55613,-75.84143
44280,OCN002.78,37.72368,-75.7886
44363,OCN004.73,37.71218,-75.7633
44390,OPC000.00,37.2313,-76.01420999999998
44417,PAT0176,39.21781,-76.70534
44590,PAT0285,39.31245,-76.79224
44763,PIS0033,38.69842,-76.98673000000002
44970,PKS000.24,37.90987,-75.78915
44998,PKS003.92,37.93178,-75.72792
45025,PKS008.81,37.93561,-75.65189000000002
45112,PMK001.29,37.53772,-76.81248000000002
45115,PMK006.16,37.52592,-76.86558000000002
45118,PMK008.92,37.55988,-76.86092
45121,PMK012.18,37.57138,-76.88424
45457,PMK018.13,37.56502,-76.92775999999998
45460,PMK023.69,37.55267,-76.95792
45463,PMK034.00,37.57678,-77.02345
45782,PMK037.34,37.59652,-77.08155
45785,PMK041.30,37.62647,-77.12397
45788,PMK047.41,37.66875,-77.1414
45791,PMS01,38.91789,-77.1047
45871,PMS10,38.90233,-77.06942
46019,PMS21,38.87428,-77.0422
46168,PMS29,38.85039,-77.0222
46314,PMS37,38.82178,-77.03109
46401,PMS39,38.814,-77.03387
46434,PMS44,38.79483,-77.03692
46517,PMS51,38.77011,-77.03135999999998
46587,PNK002.52,37.50617,-76.33265
46639,PNK004.41,37.53582,-76.35573000000002
46653,PNK009.96,37.51377,-76.42438
46667,PNK013.91,37.53407,-76.48782
46720,PNK018.35,37.56677,-76.54648
46733,POC003.01,37.98777000000001,-75.62791999999997
46760,POK0009,37.9765,-75.64295
46827,POK0014,37.98111,-75.6375
46842,POK0087,38.03972,-75.66084000000002
46965,POK0187,38.08592,-75.55928
47031,POK0232,38.11915,-75.49705
47052,POK0316,38.1789,-75.39403
47119,POM000.97,38.3436,-77.30485
47176,POQ001.36,37.15095,-76.41615
47203,POT022.86,38.15212,-76.64825
47224,POT040.14,38.2216,-76.95442
47245,POT1184,38.94821,-77.12734
47416,POT1471,39.15442,-77.52125
47589,POT1472,39.15551,-77.52232
47756,POT1595,39.27348,-77.54366999999998
47925,POT1596,39.27208,-77.5479
48095,POT1830,39.43508,-77.80266
48266,POT2386,39.69742,-78.1763
48439,POT2766,39.53865,-78.45449
48613,PTB01,38.88706,-77.03941999999998
48703,PUN001.40,37.67531,-75.85221
48730,PUN003.70,37.66608,-75.80199999999998
48757,PWC04,38.87372,-77.0222
48845,PXT0311,38.6263,-76.6768
48858,PXT0435,38.7571,-76.6993
48862,PXT0455,38.78128,-76.7137
49152,PXT0809,39.1168,-76.87493
49318,PXT0972,39.23931,-77.05619
49749,RCM0111,38.99302,-77.06303
49922,RCR01,38.9865,-77.06359
50009,RCR09,38.92844,-77.04942
50095,RET1.1,38.4909,-76.66429000000002
50295,RET2.1,38.4035,-77.2691
50525,RET2.2,38.3525,-77.2051
50756,RET2.4,38.3626,-76.99063000000002
50987,RET3.1,37.9173,-76.8222
51142,RET3.2,37.81158,-76.71195
51296,RET4.1,37.52564,-76.86761
51436,RET4.2,37.57125,-76.79715
51609,RET4.3,37.50869,-76.78889000000002
51752,RET5.1A,37.3123,-76.87671999999998
51918,RET5.2,37.20294000000001,-76.78219
52076,ROS001.10,38.27273,-77.0105
52097,RPP001.99,37.61415,-76.32025
52118,RPP006.96,37.59248,-76.41168
52139,RPP010.60,37.63189000000001,-76.44485999999998
52160,RPP015.61,37.62083,-76.54645
52249,RPP017.04,37.6623,-76.53913
52270,RPP021.29,37.7173,-76.55995
52291,RPP022.94,37.72515,-76.59703
52311,RPP025.52,37.75925,-76.61591999999997
52332,RPP029.64,37.964,-76.8556
52352,RPP031.57,37.80833,-76.71333
52373,RPP033.29,37.82195,-76.75027
52462,RPP037.79,37.8757,-76.76483
52483,RPP042.12,37.9173,-76.8222
52504,RPP051.01,38.01847,-76.90928000000002
52525,RPP057.00,38.08072,-76.96395
52601,RPP064.40,38.11295,-77.05481999999998
52622,RPP080.19,38.17553,-77.18786
52644,RPP084.32,38.18543,-77.24061999999998
52720,RPP098.80,38.24461,-77.32508
52741,RPP108.39,38.2965,-77.45317
52762,SAV0000,39.4806,-79.06806
52936,SBE2,36.8134,-76.2903
53097,SBE5,36.76987,-76.29605
53254,SEN0008,39.07958,-77.33964
53427,SEV003.38,37.32313,-76.4493
53454,SGC0041,38.166,-76.521
53483,SID0015,39.64935,-78.34415
53576,SMNT01,38.16583,-76.50133000000002
53581,SMNT02,38.22066,-76.48966999999998
53586,SMNT03,38.25217,-76.53267
53591,SMNT04,38.2525,-76.54134
53596,SMNT05,38.28133,-76.51717
53601,SMNT06,38.27917,-76.51334
53606,SMNT07,38.27267,-76.512
53611,SMNT08,38.25267,-76.50684
53616,SMNT09,38.24166,-76.5035
53621,SMNT09.5,38.23672,-76.5009
53626,SMNT10,38.23067,-76.465
53631,SMNT11,38.22434000000001,-76.45533
53636,SMNT12,38.22933,-76.42883
